gradF1,gradF2,gradF3,gradF4,gradF5,gradF6,gradF7,gradF8,gradF9,gradF10,medF1,medF2,medF3,medF4,medF5,medF6,medF7,medF8,medF9,medF10,maxF1,maxF2,maxF3,maxF4,maxF5,maxF6,maxF7,maxF8,maxF9,maxF10,meanF1,meanF2,meanF3,meanF4,meanF5,meanF6,meanF7,meanF8,meanF9,meanF10,stdF1,stdF2,stdF3,stdF4,stdF5,stdF6,stdF7,stdF8,stdF9,stdF10,label
0.6128323967566571,14.725223368676003,0.9015771918810881,-1.8862211422809518,-9.983912073366872,-4.3279984458290155,0.7860510723640903,4.287625382292728,2.137949063747397,1.5280026472295738,3455.6875,1771.375,1729.5625,3289.0625,2893.8125,3495.0625,451.3125,3780.75,3693.75,3728.5625,3710.0,1942.125,1746.125,3655.25,3476.875,3736.0,459.375,3961.875,3897.875,3947.125,3374.1595833333336,1619.8439583333334,1725.5652083333334,3237.41125,2934.1164583333334,3532.2539583333332,443.12166666666667,3690.4370833333332,3629.9904166666665,3646.8120833333332,399.2571283530547,383.53632321724285,16.592370352709295,423.85945289460955,376.0200720571948,115.88957427871058,21.784608480912993,467.22100113114516,360.64685355014404,437.87687201987467,C
-0.33856892658035015,15.36150805280015,0.9382819466165185,-2.8094173872705173,-11.60593310675863,-4.968900121944783,0.8224562082116905,3.8585652321256436,1.5504815985599947,1.0833119328109253,3487.0,1898.875,1740.25,3318.0625,2928.875,3500.6875,461.0,3795.6875,3716.125,3750.9375,3742.625,2108.625,1753.375,3691.0,3548.625,3765.75,472.25,3976.375,3921.25,3966.375,3401.4779166666667,1741.4002083333332,1734.0139583333332,3262.5525,2969.950625,3542.5954166666666,452.70104166666664,3703.7066666666665,3651.534166666667,3666.5464583333332,402.33140656336474,427.7955638064975,17.843314052717446,431.8180912049694,400.0133626532406,127.63843167411127,24.590411946992713,469.97758005984065,362.282617638671,437.94457593291844,C
0.7245184014400015,13.928335287042476,0.8681793213314485,-1.6502179519943112,-8.879027997299994,-3.870251688199134,0.749587984966625,4.095716515879211,2.0646876449656806,1.5465582196061616,3453.0625,1705.125,1729.3125,3300.75,2911.9375,3507.1875,452.5625,3788.375,3696.3125,3738.9375,3683.75,1852.625,1746.75,3627.25,3420.5,3716.375,458.875,3949.875,3879.375,3932.25,3370.8516666666665,1561.81375,1725.9139583333333,3239.219375,2925.0616666666665,3533.1339583333333,444.7316666666667,3696.0495833333334,3628.4877083333336,3652.8264583333334,378.02674857623634,353.0573014479333,15.63670823299681,400.9765278563328,350.9628306425436,105.74965120078843,20.383481246713334,443.2334643184435,342.8272521433259,416.05921409043174,C
-2.794045851516254,12.473480447167923,0.5362275311875868,-5.671125996183323,-14.360062979341613,-5.131536858435717,0.5745310403640009,1.3550969238803445,-0.2694599151664318,-2.3002059033497333,3439.9375,1744.5,1718.25,3268.625,2863.375,3487.6875,448.8125,3765.6875,3679.625,3713.875,3710.875,1938.125,1727.5,3657.25,3481.5,3740.875,460.25,3961.625,3898.75,3948.5,3363.168125,1616.889375,1715.0829166666667,3219.1072916666667,2909.3839583333333,3526.771458333333,442.8725,3681.7747916666667,3620.9683333333332,3636.0645833333333,377.6410617709648,365.74556721300263,10.228728071286092,410.27572422877034,384.2348166172279,121.31308890386582,20.542312089359065,436.7935305251167,340.7414878121187,400.4165631385884,C
-0.7034216067266845,13.539536325100906,0.8206880088555797,-3.279939597054436,-12.18135526070905,-4.61667667826855,0.6897265686849132,3.6276638962886008,1.404773902149728,0.11376705213070239,3452.4375,1739.3125,1704.625,3289.0,2896.125,3499.0625,443.5625,3778.625,3691.875,3729.875,3706.0,1923.875,1724.75,3651.5,3472.125,3736.875,453.0,3959.0,3895.5,3945.75,3372.1920833333334,1602.065625,1703.675625,3234.9254166666665,2935.299375,3534.7727083333334,436.77416666666664,3685.4066666666668,3624.349166666667,3648.49125,390.1364347761039,373.75118248821263,14.587996637448155,418.18020519251144,368.36727611063185,116.1568717480679,20.888285495075024,473.76565400610434,363.75857835626175,424.27274191618324,C
-1.5233810718918666,12.113704829735637,0.9528291398031661,-4.146953081814118,-12.169319949499862,-4.8213638440662345,0.6130950016527825,2.7838316911991448,0.5742182617173933,-0.6305684529679239,3421.625,1732.4375,1714.6875,3246.4375,2840.1875,3485.8125,442.375,3755.0,3666.9375,3700.9375,3715.5,1922.75,1732.875,3667.0,3502.875,3755.375,452.25,3966.75,3905.0,3954.375,3351.3685416666667,1606.6016666666667,1710.8672916666667,3210.790625,2900.293958333333,3527.4377083333334,436.1327083333333,3673.8566666666666,3613.07875,3630.264375,401.80798727021175,364.07904362603966,17.273775320205836,427.14666993957536,388.9517335517713,120.90506652145532,20.56337337754606,469.5517558218488,361.69377906277083,430.1534821235779,C
-2.0715508584746067,10.415780773002142,0.9763171217142271,-4.457592625257295,-11.797505826405079,-4.466798866107962,0.5117732618701717,2.41432236617324,0.1510716001988894,-0.9545608807246673,3378.8125,1622.4375,1712.4375,3196.0,2776.8125,3469.8125,434.75,3725.1875,3633.5,3659.0,3686.125,1782.5,1732.375,3635.5,3440.375,3731.0,441.625,3953.375,3883.5,3936.5,3325.3189583333333,1512.7702083333334,1708.8897916666667,3182.447291666667,2856.9704166666666,3514.05375,429.004375,3659.802291666667,3593.6879166666668,3605.663541666667,385.06541091125945,314.15503994105455,17.46023280814018,411.5912881979006,364.96115924369786,111.96168194808988,17.199777080544077,457.66024737152253,345.40611599152425,422.9358729873805,C
-2.7767456298489694,9.979714978374938,1.008288321634227,-5.709122733674257,-12.542567896021932,-4.579041434837317,0.46296323045341753,1.3113211078364118,-0.7651840699557496,-2.7535101139169873,3383.9375,1595.75,1706.4375,3206.375,2789.6875,3471.625,428.375,3729.25,3634.5,3663.4375,3677.25,1759.75,1729.5,3626.75,3419.625,3722.25,436.5,3949.0,3876.25,3931.0,3323.2029166666666,1492.4064583333334,1703.9035416666666,3181.8908333333334,2854.7266666666665,3513.1197916666665,423.91875,3658.9110416666667,3589.5075,3604.6522916666668,375.66363339395895,305.5665948542417,17.81469794916445,400.1665394508253,361.372947040025,110.30690155296364,16.13806033387328,439.869118583789,333.209488812806,398.6066659164921,C
-2.5741448240133984,10.452645458737393,1.121346448184578,-4.915495216653377,-12.824744443734572,-4.841270392417757,0.49096462767952115,2.2027916049766816,-0.07742847896799893,-1.4094446790130006,3398.125,1649.875,1705.6875,3217.75,2804.375,3473.3125,431.75,3738.6875,3647.375,3675.875,3698.875,1822.625,1727.0,3648.625,3465.75,3742.25,439.625,3958.75,3891.875,3943.5,3335.590625,1540.0135416666667,1700.8608333333334,3189.6410416666668,2868.8770833333333,3515.275416666667,426.67833333333334,3661.6970833333335,3599.2858333333334,3609.7283333333335,387.65024786647086,325.56016232254825,20.084069378329303,417.841064751033,375.72895982042587,118.27508023847946,17.30190677407899,462.8813622082798,349.57208520701727,424.856779793045,C
-3.4416775463265186,11.67141537198715,1.0792364006566684,-6.062446944297066,-13.970823773121595,-5.409443290120247,0.6477656882380229,0.8151087572465492,-1.1391761852116258,-2.326186461629058,3453.125,1810.875,1703.4375,3279.375,2879.5,3489.0625,443.125,3772.125,3688.3125,3723.625,3731.75,2018.0,1721.25,3682.75,3531.125,3766.25,452.625,3972.875,3915.25,3962.125,3383.2291666666665,1688.6747916666666,1698.4641666666666,3239.3902083333332,2930.019375,3532.065,437.43,3697.688541666667,3639.0160416666668,3652.76375,377.99928960476564,374.9007980847591,19.68028224698749,411.49427612946226,395.9227208449733,126.74887362724878,20.26956911160052,431.3328899785059,330.9334842084188,402.6858403609852,C
-2.7501039238997915,10.20344594707207,0.8549922013672263,-5.059656728213131,-13.419014670874093,-4.9142800743890955,0.4840557195992216,2.1809428984524923,0.3258916691435252,-1.341976505490293,3381.125,1655.75,1687.375,3194.375,2766.625,3460.625,437.375,3725.0,3640.0,3659.3125,3697.125,1823.625,1704.375,3648.875,3466.375,3745.5,444.0,3959.25,3893.5,3943.375,3327.423125,1548.6102083333333,1684.1922916666667,3180.3172916666667,2849.0114583333334,3505.660625,432.26458333333335,3657.1847916666666,3598.9245833333334,3603.4358333333334,385.08177223550763,320.3200101057094,15.50727951059212,413.13788360565206,375.66160133782324,119.75456456941303,16.356546676841912,454.5543031436676,348.6694637022872,422.86670161710913,C
2.6349960347112047,13.233112904480288,0.6883861135725374,0.6180643557343165,-8.827684486623571,-3.59957947799855,0.7821860269056305,6.600766321573115,5.103214974208261,3.37655910155306,3412.625,1504.9375,1230.25,3289.8125,2841.0625,3496.5625,364.625,3772.625,3683.3125,3729.5625,3625.375,1620.625,1240.625,3581.875,3299.875,3694.5,366.875,3922.375,3844.75,3900.75,3313.5152083333332,1367.233125,1226.3972916666667,3201.4995833333332,2829.7102083333334,3510.1789583333334,355.43895833333335,3653.6070833333333,3583.988125,3627.4733333333334,420.9237830390177,323.5761417555095,13.549469121669022,440.11059872112907,325.0567446849709,103.24117857535973,17.67853119790943,528.6517275997022,425.51870890644585,454.8000534336241,C
